# Time-averaged data for fix 3
tstep t T P density a b c Etot Eke Epe Epair
5375 121500 125.63 90.2771 1.16787 38.4387 38.4387 38.4387 -722.663 374.104 -1096.77 -1096.77
5400 121600 131.529 33.913 1.15542 38.5762 38.5762 38.5762 -702.938 391.67 -1094.61 -1094.61
5425 121700 127.494 68.3016 1.15012 38.6354 38.6354 38.6354 -699.621 379.656 -1079.28 -1079.28
5450 121800 132.649 68.1453 1.14896 38.6484 38.6484 38.6484 -686.227 395.005 -1081.23 -1081.23
5475 121900 135.099 58.9331 1.15121 38.6232 38.6232 38.6232 -684.919 402.301 -1087.22 -1087.22
5500 122000 125.081 98.1436 1.15737 38.5546 38.5546 38.5546 -710.852 372.47 -1083.32 -1083.32
5525 122100 128.353 125.563 1.16377 38.4837 38.4837 38.4837 -706.915 382.215 -1089.13 -1089.13
5550 122200 132.489 141.249 1.16704 38.4479 38.4479 38.4479 -697.875 394.53 -1092.41 -1092.41
5575 122300 131.222 119.994 1.16596 38.4597 38.4597 38.4597 -702.42 390.757 -1093.18 -1093.18
5600 122400 126.144 54.1079 1.16315 38.4906 38.4906 38.4906 -722.453 375.635 -1098.09 -1098.09
5625 122500 128.205 9.18339 1.16501 38.4701 38.4701 38.4701 -727.387 381.774 -1109.16 -1109.16
5650 122600 136.103 71.6777 1.17608 38.349 38.349 38.349 -710.128 405.292 -1115.42 -1115.42
5675 122700 135.61 201.772 1.1892 38.2075 38.2075 38.2075 -703.79 403.823 -1107.61 -1107.61
5700 122800 129.891 172.269 1.19261 38.171 38.171 38.171 -729.57 386.792 -1116.36 -1116.36
5725 122900 127.075 132.904 1.18775 38.223 38.223 38.223 -736.456 378.409 -1114.86 -1114.86
5750 123000 130.741 73.864 1.17979 38.3088 38.3088 38.3088 -727.895 389.323 -1117.22 -1117.22
5775 123100 131.826 84.3401 1.17438 38.3676 38.3676 38.3676 -718.131 392.557 -1110.69 -1110.69
5800 123200 133.097 115.166 1.17063 38.4085 38.4085 38.4085 -707.697 396.34 -1104.04 -1104.04
5825 123300 134.427 102.94 1.16591 38.4603 38.4603 38.4603 -702.543 400.301 -1102.84 -1102.84
5850 123400 127.334 72.3955 1.16071 38.5176 38.5176 38.5176 -719.712 379.178 -1098.89 -1098.89
5875 123500 128.114 13.204 1.15907 38.5357 38.5357 38.5357 -728.506 381.502 -1110.01 -1110.01
5900 123600 128.204 80.1605 1.16574 38.4621 38.4621 38.4621 -724.958 381.769 -1106.73 -1106.73
5925 123700 136.395 166.118 1.17439 38.3674 38.3674 38.3674 -699.918 406.161 -1106.08 -1106.08
5950 123800 131.275 207.557 1.17581 38.352 38.352 38.352 -705.744 390.916 -1096.66 -1096.66
5975 123900 130.879 70.5343 1.16708 38.4474 38.4474 38.4474 -720.916 389.736 -1110.65 -1110.65
6000 124000 129.375 -2.2659 1.16097 38.5147 38.5147 38.5147 -731.389 385.256 -1116.65 -1116.65
