# Time-averaged data for fix 3
tstep t T P Etot Eke Epe Epair
8550 34200 137.2 -110.985 -559.916 408.558 -968.473 -968.473
8575 34300 126.69 -90.9995 -580.214 377.262 -957.476 -957.476
8600 34400 127.588 -112.854 -582.837 379.934 -962.771 -962.771
8625 34500 131.869 -106.333 -571.489 392.684 -964.173 -964.173
8650 34600 131.336 -44.4189 -560.072 391.096 -951.168 -951.168
8675 34700 140.066 -48.0234 -540.69 417.093 -957.783 -957.783
8700 34800 128.979 -27.9511 -564.708 384.076 -948.784 -948.784
8725 34900 128.83 -51.7363 -571.117 383.633 -954.75 -954.75
8750 35000 132.704 -88.8288 -569.598 395.171 -964.769 -964.769
8775 35100 127.875 -93.8914 -583.147 380.789 -963.936 -963.936
8800 35200 124.339 -102.442 -595.255 370.262 -965.517 -965.517
8825 35300 133.785 -99.5314 -572.717 398.388 -971.105 -971.105
8850 35400 131.289 -14.7545 -560.447 390.957 -951.404 -951.404
8875 35500 131.265 -22.6629 -563.189 390.885 -954.074 -954.074
8900 35600 129.862 -53.4281 -572.958 386.707 -959.665 -959.665
8925 35700 125.418 -68.4201 -585.582 373.475 -959.057 -959.057
8950 35800 127.227 -93.7636 -583.42 378.859 -962.279 -962.279
8975 35900 133.625 -89.58 -563.423 397.914 -961.336 -961.336
9000 36000 132.18 -76.8971 -563.298 393.61 -956.907 -956.907
9025 36100 126.578 -74.7904 -576.263 376.927 -953.19 -953.19
9050 36200 129.12 -120.846 -579.996 384.496 -964.492 -964.492
9075 36300 131.291 -126.809 -574.722 390.964 -965.685 -965.685
9100 36400 132.793 -113.699 -568.278 395.434 -963.712 -963.712
9125 36500 128.255 -82.1574 -574.004 381.921 -955.926 -955.926
9150 36600 126.696 -61.4663 -576.577 377.279 -953.856 -953.856
9175 36700 131.276 -11.6301 -557.075 390.917 -947.992 -947.992
9200 36800 135.434 -2.85725 -546.715 403.3 -950.015 -950.015
9225 36900 132.557 -44.5816 -562.992 394.731 -957.723 -957.723
9250 37000 129.072 -65.5875 -575.407 384.354 -959.761 -959.761
9275 37100 129.427 -64.6119 -575.984 385.412 -961.396 -961.396
9300 37200 128.494 -17.2892 -569.486 382.634 -952.12 -952.12
9325 37300 134.686 14.5549 -546.793 401.072 -947.865 -947.865
9350 37400 135.211 -0.186879 -547.919 402.634 -950.553 -950.553
9375 37500 130.357 -18.767 -562.466 388.182 -950.648 -950.648
9400 37600 131.387 -65 -568.266 391.249 -959.515 -959.515
9425 37700 128.253 -86.4473 -579.705 381.914 -961.62 -961.62
9450 37800 126.003 -78.32 -583.794 375.215 -959.009 -959.009
9475 37900 132.503 -42.2942 -558.765 394.572 -953.336 -953.336
9500 38000 134.045 -29.8728 -550.985 399.162 -950.147 -950.147
9525 38100 129.725 -38.9455 -563.947 386.298 -950.245 -950.245
9550 38200 127.25 -36.1507 -569.289 378.927 -948.216 -948.216
9575 38300 131.232 -51.903 -562.324 390.786 -953.11 -953.11
9600 38400 132.499 -48.2088 -557.359 394.561 -951.919 -951.919
9625 38500 132.025 -62.9218 -562.571 393.147 -955.718 -955.718
9650 38600 126.62 -76.3328 -580.315 377.054 -957.369 -957.369
9675 38700 126.753 -75.4048 -579.464 377.449 -956.914 -956.914
9700 38800 133.599 -74.5023 -560.369 397.834 -958.203 -958.203
9725 38900 135.247 -113.732 -565.545 402.743 -968.288 -968.288
9750 39000 125.278 -72.2347 -581.513 373.058 -954.571 -954.571
9775 39100 128.81 -64.3929 -570.66 383.574 -954.235 -954.235
9800 39200 132.923 -83.2508 -562.905 395.822 -958.727 -958.727
9825 39300 129.686 -94.8685 -570.723 386.184 -956.907 -956.907
9850 39400 125.794 -135.925 -589.177 374.592 -963.769 -963.769
9875 39500 120.129 -101.501 -597.203 357.722 -954.925 -954.925
9900 39600 127.748 -50.1245 -569.707 380.412 -950.119 -950.119
9925 39700 129.293 -0.11659 -556.674 385.011 -941.685 -941.685
9950 39800 134.7 -6.57516 -547.112 401.115 -948.227 -948.227
